t,x,y
0.81100,5.27955,2.74945
0.81200,5.28606,2.74800
0.81300,5.29257,2.74653
0.81400,5.29908,2.74506
0.81500,5.30559,2.74357
0.81600,5.31210,2.74208
0.81700,5.31861,2.74057
0.81800,5.32512,2.73906
0.81900,5.33163,2.73753
0.82000,5.33814,2.73600
0.82100,5.34465,2.73446
0.82200,5.35116,2.73290
0.82300,5.35767,2.73134
0.82400,5.36418,2.72976
0.82500,5.37069,2.72818
0.82600,5.37720,2.72659
0.82700,5.38371,2.72498
0.82800,5.39022,2.72337
0.82900,5.39673,2.72175
0.83000,5.40324,2.72012
0.83100,5.40975,2.71847
0.83200,5.41626,2.71682
0.83300,5.42277,2.71516
0.83400,5.42928,2.71349
0.83500,5.43579,2.71181
0.83600,5.44230,2.71012
0.83700,5.44881,2.70842
0.83800,5.45532,2.70670
0.83900,5.46183,2.70498
0.84000,5.46834,2.70325
0.84100,5.47485,2.70151
0.84200,5.48136,2.69976
0.84300,5.48787,2.69800
0.84400,5.49438,2.69623
0.84500,5.50089,2.69445
0.84600,5.50740,2.69266
0.84700,5.51391,2.69087
0.84800,5.52042,2.68906
0.84900,5.52693,2.68724
0.85000,5.53344,2.68541
0.85100,5.53995,2.68357
0.85200,5.54646,2.68172
0.85300,5.55297,2.67986
0.85400,5.55948,2.67800
0.85500,5.56599,2.67612
0.85600,5.57250,2.67423
0.85700,5.57901,2.67233
0.85800,5.58552,2.67043
0.85900,5.59203,2.66851
0.86000,5.59854,2.66658
0.86100,5.60505,2.66465
0.86200,5.61156,2.66270
0.86300,5.61807,2.66075
0.86400,5.62458,2.65878
0.86500,5.63109,2.65680
0.86600,5.63760,2.65482
0.86700,5.64411,2.65282
0.86800,5.65062,2.65082
0.86900,5.65713,2.64880
0.87000,5.66364,2.64678
0.87100,5.67015,2.64474
0.87200,5.67666,2.64270
0.87300,5.68317,2.64064
0.87400,5.68968,2.63858
0.87500,5.69619,2.63651
0.87600,5.70270,2.63442
0.87700,5.70921,2.63233
0.87800,5.71572,2.63023
0.87900,5.72223,2.62811
0.88000,5.72874,2.62599
0.88100,5.73525,2.62386
0.88200,5.74176,2.62172
0.88300,5.74827,2.61956
0.88400,5.75478,2.61740
0.88500,5.76129,2.61523
0.88600,5.76780,2.61305
0.88700,5.77431,2.61086
0.88800,5.78082,2.60865
0.88900,5.78733,2.60644
0.89000,5.79384,2.60422
0.89100,5.80035,2.60199
0.89200,5.80686,2.59975
0.89300,5.81337,2.59750
0.89400,5.81988,2.59524
0.89500,5.82639,2.59297
0.89600,5.83290,2.59069
0.89700,5.83941,2.58840
0.89800,5.84592,2.58610
0.89900,5.85243,2.58379
0.90000,5.85894,2.58147
0.90100,5.86545,2.57914
0.90200,5.87196,2.57681
0.90300,5.87847,2.57446
0.90400,5.88498,2.57210
0.90500,5.89149,2.56973
0.90600,5.89800,2.56735
0.90700,5.90451,2.56497
0.90800,5.91102,2.56257
0.90900,5.91753,2.56016
0.91000,5.92404,2.55774
0.91100,5.93055,2.55532
0.91200,5.93706,2.55288
0.91300,5.94357,2.55043
0.91400,5.95008,2.54798
0.91500,5.95659,2.54551
0.91600,5.96310,2.54303
0.91700,5.96961,2.54055
0.91800,5.97612,2.53805
0.91900,5.98263,2.53555
0.92000,5.98914,2.53303
0.92100,5.99565,2.53051
0.92200,6.00216,2.52797
0.92300,6.00867,2.52543
0.92400,6.01518,2.52287
0.92500,6.02169,2.52031
0.92600,6.02820,2.51773
0.92700,6.03471,2.51515
0.92800,6.04122,2.51256
0.92900,6.04773,2.50995
